,Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
728,5,2010-02-05,39.7,2.572,,,,,,211.6539716,6.566,False
729,5,2010-02-12,39.81,2.548,,,,,,211.80046980000003,6.566,True
730,5,2010-02-19,41.14,2.5140000000000002,,,,,,211.84712830000004,6.566,False
731,5,2010-02-26,46.7,2.5610000000000004,,,,,,211.87714680000005,6.566,False
732,5,2010-03-05,48.89,2.625,,,,,,211.9071653,6.566,False
733,5,2010-03-12,58.5,2.667,,,,,,211.9371839,6.566,False
734,5,2010-03-19,55.46,2.72,,,,,,211.77089700000002,6.566,False
735,5,2010-03-26,52.47,2.7319999999999998,,,,,,211.5718925,6.566,False
736,5,2010-04-02,63.18,2.719,,,,,,211.372888,6.465,False
737,5,2010-04-09,65.19,2.77,,,,,,211.1738835,6.465,False
738,5,2010-04-16,65.3,2.8080000000000003,,,,,,211.0388528,6.465,False
739,5,2010-04-23,65.13,2.795,,,,,,210.9891204,6.465,False
740,5,2010-04-30,67.53,2.78,,,,,,210.93938799999998,6.465,False
741,5,2010-05-07,71.53,2.835,,,,,,210.8896556,6.465,False
742,5,2010-05-14,74.79,2.8539999999999996,,,,,,210.8872772,6.465,False
743,5,2010-05-21,75.2,2.826,,,,,,211.169023,6.465,False
744,5,2010-05-28,79.81,2.759,,,,,,211.45076880000002,6.465,False
745,5,2010-06-04,79.54,2.705,,,,,,211.73251459999997,6.465,False
746,5,2010-06-11,80.7,2.668,,,,,,212.0142605,6.465,False
747,5,2010-06-18,83.91,2.637,,,,,,212.01197689999998,6.465,False
748,5,2010-06-25,83.72,2.653,,,,,,211.8960815,6.465,False
749,5,2010-07-02,81.25,2.6689999999999996,,,,,,211.7801861,6.496,False
750,5,2010-07-09,81.14,2.642,,,,,,211.66429069999995,6.496,False
751,5,2010-07-16,83.98,2.623,,,,,,211.65611230000002,6.496,False
752,5,2010-07-23,83.66,2.608,,,,,,211.79155649999998,6.496,False
753,5,2010-07-30,82.46,2.64,,,,,,211.9270006,6.496,False
754,5,2010-08-06,86.1,2.627,,,,,,212.06244469999996,6.496,False
755,5,2010-08-13,87.41,2.6919999999999997,,,,,,212.1978889,6.496,False
756,5,2010-08-20,87.71,2.6639999999999997,,,,,,212.1608984,6.496,False
757,5,2010-08-27,87.05,2.6189999999999998,,,,,,212.123908,6.496,False
758,5,2010-09-03,84.06,2.577,,,,,,212.0869176,6.496,False
759,5,2010-09-10,79.86,2.565,,,,,,212.04992709999996,6.496,True
760,5,2010-09-17,82.28,2.582,,,,,,212.0769346,6.496,False
761,5,2010-09-24,78.53,2.6239999999999997,,,,,,212.1519404,6.496,False
762,5,2010-10-01,71.1,2.603,,,,,,212.2269463,6.768,False
763,5,2010-10-08,64.99,2.633,,,,,,212.3019522,6.768,False
764,5,2010-10-15,68.11,2.72,,,,,,212.3691867,6.768,False
765,5,2010-10-22,70.96,2.725,,,,,,212.41699280000003,6.768,False
766,5,2010-10-29,70.58,2.716,,,,,,212.46479900000003,6.768,False
767,5,2010-11-05,58.88,2.6889999999999996,,,,,,212.5126051,6.768,False
768,5,2010-11-12,62.37,2.728,,,,,,212.5604113,6.768,False
769,5,2010-11-19,52.52,2.7710000000000004,,,,,,212.445487,6.768,False
770,5,2010-11-26,66.15,2.735,,,,,,212.30344100000002,6.768,True
771,5,2010-12-03,51.31,2.708,,,,,,212.1613951,6.768,False
772,5,2010-12-10,48.27,2.843,,,,,,212.0193491,6.768,False
773,5,2010-12-17,51.61,2.8689999999999998,,,,,,211.9580815,6.768,False
774,5,2010-12-24,55.01,2.886,,,,,,211.95739780000002,6.768,False
775,5,2010-12-31,49.79,2.943,,,,,,211.9567142,6.768,True
776,5,2011-01-07,48.3,2.9760000000000004,,,,,,211.95603050000003,6.6339999999999995,False
777,5,2011-01-14,37.74,2.983,,,,,,212.00851400000002,6.6339999999999995,False
778,5,2011-01-21,45.41,3.016,,,,,,212.3800012,6.6339999999999995,False
779,5,2011-01-28,44.5,3.01,,,,,,212.7514884,6.6339999999999995,False
780,5,2011-02-04,41.67,2.989,,,,,,213.1229755,6.6339999999999995,False
781,5,2011-02-11,38.25,3.022,,,,,,213.49446269999999,6.6339999999999995,True
782,5,2011-02-18,58.83,3.045,,,,,,213.8068304,6.6339999999999995,False
783,5,2011-02-25,63.35,3.065,,,,,,214.0955503,6.6339999999999995,False
784,5,2011-03-04,60.35,3.2880000000000003,,,,,,214.3842702,6.6339999999999995,False
785,5,2011-03-11,55.74,3.4589999999999996,,,,,,214.67299010000002,6.6339999999999995,False
786,5,2011-03-18,64.31,3.488,,,,,,214.9257339,6.6339999999999995,False
787,5,2011-03-25,70.71,3.4730000000000003,,,,,,215.1640872,6.6339999999999995,False
788,5,2011-04-01,61.5,3.5239999999999996,,,,,,215.4024406,6.489,False
789,5,2011-04-08,69.64,3.622,,,,,,215.64079390000003,6.489,False
790,5,2011-04-15,72.02,3.7430000000000003,,,,,,215.8592673,6.489,False
791,5,2011-04-22,74.34,3.807,,,,,,216.02804069999996,6.489,False
792,5,2011-04-29,74.75,3.81,,,,,,216.1968142,6.489,False
793,5,2011-05-06,66.27,3.906,,,,,,216.3655877,6.489,False
794,5,2011-05-13,77.38,3.8989999999999996,,,,,,216.5343611,6.489,False
795,5,2011-05-20,71.37,3.907,,,,,,216.3023847,6.489,False
796,5,2011-05-27,80.14,3.786,,,,,,216.0704083,6.489,False
797,5,2011-06-03,83.81,3.699,,,,,,215.83843190000002,6.489,False
798,5,2011-06-10,83.61,3.648,,,,,,215.6064555,6.489,False
799,5,2011-06-17,86.84,3.637,,,,,,215.560463,6.489,False
800,5,2011-06-24,84.76,3.594,,,,,,215.6539583,6.489,False
801,5,2011-07-01,85.81,3.5239999999999996,,,,,,215.7474537,6.529,False
802,5,2011-07-08,86.64,3.48,,,,,,215.8409491,6.529,False
803,5,2011-07-15,88.64,3.575,,,,,,215.9250696,6.529,False
804,5,2011-07-22,86.97,3.6510000000000002,,,,,,215.985753,6.529,False
805,5,2011-07-29,89.42,3.682,,,,,,216.0464364,6.529,False
806,5,2011-08-05,91.07,3.6839999999999997,,,,,,216.10711980000002,6.529,False
807,5,2011-08-12,90.16,3.638,,,,,,216.16780319999995,6.529,False
808,5,2011-08-19,89.35,3.554,,,,,,216.2311855,6.529,False
809,5,2011-08-26,89.18,3.523,,,,,,216.2950176,6.529,False
810,5,2011-09-02,90.38,3.533,,,,,,216.3588498,6.529,False
811,5,2011-09-09,79.04,3.5460000000000003,,,,,,216.42268190000001,6.529,True
812,5,2011-09-16,83.55,3.5260000000000002,,,,,,216.6033083,6.529,False
813,5,2011-09-23,78.01,3.467,,,,,,216.9396605,6.529,False
814,5,2011-09-30,81.16,3.355,,,,,,217.2760127,6.529,False
815,5,2011-10-07,71.64,3.285,,,,,,217.6123648,6.3,False
