,Store,Dept,Date,Weekly_Sales,IsHoliday
39790,5,1,2010-02-05,9323.89,False
39791,5,1,2010-02-12,16861.1,True
39792,5,1,2010-02-19,11417.67,False
39793,5,1,2010-02-26,7168.41,False
39794,5,1,2010-03-05,8344.13,False
39795,5,1,2010-03-12,7531.45,False
39796,5,1,2010-03-19,8719.27,False
39797,5,1,2010-03-26,9945.67,False
39798,5,1,2010-04-02,21113.02,False
39799,5,1,2010-04-09,15310.29,False
39800,5,1,2010-04-16,6815.91,False
39801,5,1,2010-04-23,7178.81,False
39802,5,1,2010-04-30,7582.13,False
39803,5,1,2010-05-07,7515.54,False
39804,5,1,2010-05-14,7575.66,False
39805,5,1,2010-05-21,7566.13,False
39806,5,1,2010-05-28,7869.37,False
39807,5,1,2010-06-04,7760.76,False
39808,5,1,2010-06-11,7744.62,False
39809,5,1,2010-06-18,7347.19,False
39810,5,1,2010-06-25,7301.6,False
39811,5,1,2010-07-02,8003.94,False
39812,5,1,2010-07-09,7089.38,False
39813,5,1,2010-07-16,7755.51,False
39814,5,1,2010-07-23,7045.25,False
39815,5,1,2010-07-30,6937.64,False
39816,5,1,2010-08-06,7148.15,False
39817,5,1,2010-08-13,6694.81,False
39818,5,1,2010-08-20,7589.85,False
39819,5,1,2010-08-27,7521.08,False
39820,5,1,2010-09-03,8196.79,False
39821,5,1,2010-09-10,8886.99,True
39822,5,1,2010-09-17,8103.93,False
39823,5,1,2010-09-24,8277.02,False
39824,5,1,2010-10-01,8588.14,False
39825,5,1,2010-10-08,9312.68,False
39826,5,1,2010-10-15,9582.16,False
39827,5,1,2010-10-22,10069.43,False
39828,5,1,2010-10-29,12061.1,False
39829,5,1,2010-11-05,11137.94,False
39830,5,1,2010-11-12,8743.16,False
39831,5,1,2010-11-19,8369.99,False
39832,5,1,2010-11-26,9369.26,True
39833,5,1,2010-12-03,10929.57,False
39834,5,1,2010-12-10,12164.4,False
39835,5,1,2010-12-17,13563.08,False
39836,5,1,2010-12-24,14904.77,False
39837,5,1,2010-12-31,6785.2,True
39838,5,1,2011-01-07,7335.45,False
39839,5,1,2011-01-14,8075.77,False
39840,5,1,2011-01-21,8109.88,False
39841,5,1,2011-01-28,8021.74,False
39842,5,1,2011-02-04,9819.84,False
39843,5,1,2011-02-11,13407.55,True
39844,5,1,2011-02-18,16778.51,False
39845,5,1,2011-02-25,9676.42,False
39846,5,1,2011-03-04,8743.51,False
39847,5,1,2011-03-11,8702.11,False
39848,5,1,2011-03-18,8615.19,False
39849,5,1,2011-03-25,8809.64,False
39850,5,1,2011-04-01,9287.0,False
39851,5,1,2011-04-08,9381.66,False
39852,5,1,2011-04-15,12239.56,False
39853,5,1,2011-04-22,18238.83,False
39854,5,1,2011-04-29,12830.22,False
39855,5,1,2011-05-06,8751.74,False
39856,5,1,2011-05-13,7871.57,False
39857,5,1,2011-05-20,8169.97,False
39858,5,1,2011-05-27,7901.75,False
39859,5,1,2011-06-03,8175.25,False
39860,5,1,2011-06-10,8170.13,False
39861,5,1,2011-06-17,8157.72,False
39862,5,1,2011-06-24,8392.34,False
39863,5,1,2011-07-01,8073.14,False
39864,5,1,2011-07-08,7588.98,False
39865,5,1,2011-07-15,7932.29,False
39866,5,1,2011-07-22,8268.8,False
39867,5,1,2011-07-29,8110.21,False
39868,5,1,2011-08-05,7979.93,False
39869,5,1,2011-08-12,7181.46,False
39870,5,1,2011-08-19,7521.31,False
39871,5,1,2011-08-26,7491.92,False
39872,5,1,2011-09-02,8646.46,False
39873,5,1,2011-09-09,8637.23,True
39874,5,1,2011-09-16,8401.6,False
39875,5,1,2011-09-23,9537.87,False
39876,5,1,2011-09-30,9078.61,False
39877,5,1,2011-10-07,10038.53,False
39878,5,1,2011-10-14,10269.42,False
39879,5,1,2011-10-21,10682.45,False
39880,5,1,2011-10-28,12507.77,False
39881,5,1,2011-11-04,15399.72,False
39882,5,1,2011-11-11,8610.92,False
39883,5,1,2011-11-18,8626.3,False
